id,year,Lat,long,date_median,forb_kg_ha,grass_kg_ha,litter_kg_ha,pasture,season,low,high,shape,radius_m,herb_kg_ha,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
los1,2020,43.14323135,-116.7361871,2020-06-25,43.84,74.18,242.34,los,peak production,,,circular,60,118.02000000000001,0.33525165883372204,12.686035977276237,0.14657433840866402,0.17097990225913245,0.04099017234617893,0.19076113976774348,18.53398844424129,0.1273871302407607,0.48044965338148266,0.42656749410745765,0.06371441113158437,-0.10611592761770242,0.19010694943623443,0.34514508912232106,0.049693749256795955,-0.20293084656808946,149.02804854819456,158.59293337192815,135.68964931153818,169.21047365381185,134.95530767787943,127.8036901982475,621.9091424304847,886.8070803792184,1016.256031657828,2041.1252444371596,2525.9090475810026,1881.7917855819387
los2,2020,43.127015833,-116.7368355,2020-06-24,24.03,85.09,107.35,los,peak production,,,circular,60,109.12,0.38691698467029056,12.769891912564933,0.169132954476795,0.1974119772299587,0.0691915512151185,0.21684062733199722,21.13145493341206,0.15398292083727064,0.5040495869268536,0.4696912083717444,0.038062997050665265,-0.10111714257333801,0.21959845252600088,0.33668683152013495,0.060042274921018844,-0.20241725107383476,150.7695361712315,163.23747035597285,133.30295805327714,176.4720832643243,131.85785511302566,123.21105230695794,589.0126214292923,835.7010394208169,914.2398256900325,2068.649349962729,2533.7308183991063,1801.4475260942763
los3,2020,43.128021228,-116.7388411,2020-06-24,33.39,53.93,96.89,los,peak production,,,circular,60,87.32,0.39725098856559027,12.953834557489476,0.1775005244193405,0.1973562473869495,0.09900469240075205,0.231147286559082,22.363312860963894,0.16562390976272467,0.5053381337402327,0.46254283393555307,0.04569587643298278,-0.07985005091780009,0.23255030294436163,0.3500318845350679,0.06890767281146123,-0.20353091956699762,148.68587125516677,160.30694832496118,129.23587556818015,173.06178477189155,127.68551049048924,119.52301206442544,587.445564655402,852.8540221602889,953.5305090830578,2212.7627432683125,2595.6669423934914,1813.8224800077573
los4,2020,43.124853241,-116.7540157,2020-06-23,0.0,35.6,69.1,los,peak production,,,circular,60,35.6,0.3728265177733771,11.755249704649954,0.14817264140957523,0.17627503046192255,0.07098892062063368,0.21389358172819242,20.748828188155745,0.14638621860440587,0.4933128093952556,0.4381426561286758,0.06022588073375186,-0.07794428634631041,0.21070312817130207,0.3426465245046519,0.06129409252860176,-0.19914745642695642,147.8359876394618,158.0319376153434,131.6520897153224,169.46679449828932,130.5851931703217,123.07513156454891,566.9943254030513,843.8807642552895,971.6923055384545,2126.7257711258135,2486.657738881427,1846.2644818931713
los5,2020,43.127137719,-116.7549636,2020-06-23,36.85,20.4,23.7,los,peak production,,,circular,60,57.25,0.35788937788866604,11.779176596363818,0.14271004626373837,0.17803572836914405,0.04412189799972373,0.2033584001429645,19.762863619635667,0.1364229864020921,0.4984129204855887,0.44146655962317277,0.06433868416479142,-0.09918656145104172,0.20087836468679057,0.3425498079873374,0.05544393573551102,-0.2055049768389569,149.61133053461975,158.88875447447313,134.13385268184464,169.13411777958586,133.0528947423184,125.74748758656362,581.7783311437106,845.6536847442396,978.6711508501633,2070.155255812776,2526.1221743411406,1896.497270291544
mbs1,2020,43.064119139,-116.7489159,2020-07-27,76.66,113.48,991.33,mbs,peak production,,,circular,60,190.14,0.5261787592059708,10.032263650579061,0.19341200562765953,0.2206744776509881,0.17284706082876683,0.28093105160593324,27.66157260975008,0.20784068648149878,0.546779913616936,0.5416198343662822,0.004854516887202244,-0.021165974642333715,0.27992731082819994,0.2958872241612593,0.088881439051478,-0.17276138867601626,150.75608256290295,168.1722484434476,125.52846944237685,186.11363420549026,123.19022809616115,113.41871006862974,408.0880976973181,646.0660517723336,656.5839369676048,2111.316413161779,2204.3414689148563,1491.209658966614
mbs2,2020,43.072781143,-116.7701807,2020-07-23,77.04,80.58,837.71,mbs,peak production,,,circular,60,157.62,0.6323184330898178,8.949454568063686,0.2498070978751634,0.22853498952667453,0.3440737252378866,0.3603014547364415,34.99988323850341,0.2886123143309667,0.5298179712053225,0.5668359498632985,-0.024066861308626283,0.10422707924388522,0.36414638997080384,0.2990154152601473,0.1300557790646752,-0.14168224668406698,144.10371374200952,168.73614168886155,112.17670244720877,195.10401657187342,109.68708828711905,100.11424513831533,343.1674357924849,622.9165935243212,562.1610860351072,2500.5948024423947,2028.6666247014941,1220.8059588229985
mbs3,2020,43.071059894,-116.769988,2020-07-21,82.72,106.71,1473.02,mbs,peak production,,,circular,60,189.43,0.5786829219769547,9.351324086826438,0.2128128875433183,0.22619073999472708,0.2381940683188023,0.3125391056846471,30.698122383510338,0.2396986398958168,0.5419847388447063,0.5605011112721919,-0.014488933581124621,0.026921744421423224,0.3133230108638643,0.2913188805406094,0.10382606737481634,-0.15927488950380445,148.05104116869575,169.55290772107375,120.70383309579235,191.97546154266715,118.32920658084984,108.22962432713528,371.2606686814077,625.64187788807,593.4302586701541,2223.1082260161393,2106.573165456328,1367.8141278107148
mbs4,2020,43.073200952,-116.761991,2020-07-23,68.16,133.84,786.32,mbs,peak production,,,circular,60,202.0,0.5414191382186445,9.609062307595655,0.1932987570402804,0.218347201647049,0.20549423962253083,0.3027691315128,29.520370765040333,0.2307846830298593,0.5362471783201025,0.5329360536721046,0.0032096241857798814,0.013059398323432862,0.30366757113413717,0.31020721952333824,0.10078910825772963,-0.17149205949618718,148.55274155800393,166.98588634645998,121.17687945405014,186.55216058288826,118.8227203436606,109.36629239870351,417.1266215890112,673.9634867970381,681.1562976339352,2291.619919303485,2231.4229135362816,1509.4787492778464
mbs5,2020,43.07346037,-116.7602584,2020-07-23,69.36,43.19,991.27,mbs,peak production,,,circular,60,112.55,0.5372241111206167,9.983958312817027,0.19932942311110427,0.21331219758778197,0.21698330213238712,0.2989467928065665,29.17537999305796,0.2279159002163917,0.5248128466567171,0.5244855754730388,0.0010779573560906557,0.018787725606062285,0.2998483681785964,0.3068072612952091,0.09927201193895124,-0.16559330638578318,147.6941939728008,166.6371453445823,121.27735632576407,186.85307906667876,119.01605947128279,109.41651610180031,420.6544756374548,681.1255140716532,683.1839656565978,2268.1632619318966,2186.108451216963,1460.8653207311324
wbs1,2020,43.168158005,-116.7130521,2020-06-08,8.85,44.69,250.55,wbs,peak production,,,circular,60,53.54,0.2599032975103726,12.696089891013054,0.12133803336662825,0.15476135609800393,-0.027518776061419774,0.1598836166082321,15.32473021849932,0.09160830636835872,0.47928359782048824,0.3931310414730175,0.11282887206319404,-0.1483609560803867,0.15903923085420135,0.4012188771288804,0.03540269054365134,-0.2442018901980939,149.8977083964723,152.52161281003004,138.47081505160799,156.44714387103238,138.0321032065515,134.29428154655128,760.5657666030486,1039.859125051517,1286.8995786992546,2190.6955310423514,2953.4917286318105,2315.2380082758173
wbs2,2020,43.170171842,-116.7223203,2020-06-09,25.64,13.68,211.7,wbs,peak production,,,circular,60,39.32,0.25648130020498794,11.899909449881614,0.11181945129017984,0.14950600268159564,-0.03896993121012465,0.15197211877035144,14.65980704524375,0.08330701492580962,0.48082740637234256,0.3915563703022575,0.1174488422568757,-0.150130680019165,0.1496279215119896,0.3775697740080596,0.03213749220857851,-0.2322380855950613,151.37368149825926,153.56374380711316,140.78960631500732,156.98841150198604,140.3947413721022,137.0077070826401,709.5828588278397,972.710477700401,1213.0593732860516,2051.958280488629,2775.764259638353,2218.866452676868
wbs3,2020,43.17160272,-116.7223271,2020-06-09,14.68,27.84,302.25,wbs,peak production,,,circular,60,42.519999999999996,0.24552018093658995,12.032813967141836,0.11028132196229667,0.1391012616156038,-0.03403240387319754,0.14337134688532918,13.86366417535378,0.07399748782374338,0.47115809378499646,0.3760249655686136,0.12566174885507608,-0.14376487356874695,0.13943251667277887,0.3656396295534708,0.029666682699922273,-0.21981271300566602,150.47980806284116,152.21165341182189,141.43192052128776,155.30157723833784,141.33684808498498,138.6315321528143,687.0473240863093,952.5330059196987,1201.261999158752,1984.5898517215003,2649.6533371618643,2124.5655172578786
