ID,Pasture,Treatment,Date,Date_mean,Year,Season,Low,High,Biomass_kg_ha,long,lat,PP_g,ID_yr,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
34,A,IMP,2021-10-06,2021-10-06,2021,10,70.0,72.33333333,5352.0,-81.2114,27.1871,133.8,34_2021,0.8294511589596874,5.4298073444855515,0.41213660234955585,0.27094045628267743,0.6681848160392813,0.5705330702901236,53.98294408704155,0.5355577034574931,0.5417843640958764,0.6739970590736827,-0.04849728735184844,0.3541291509394696,0.6099979599515852,0.34504883973161066,0.25974624053173856,-0.08803999122952567,135.88806012664713,172.289710701248,82.71600011530094,210.11810528617008,80.03209565640387,73.32783004604526,217.4984507865911,549.0998139795944,360.1326752312098,3874.568993375273,1847.815666744736,769.2262178991364
34,A,IMP,2021-03-09,2021-03-09,2021,3,26.0,28,1180.0,-81.2114,27.1871,29.5,34_2021,0.5978900332892876,11.668598848410241,0.2997452970599508,0.30058241109800315,0.2829990182836217,0.3646189023427055,35.026388608941744,0.2941888999726252,0.6219292230507163,0.6113363869627231,0.012737596611113698,-0.017143141782119994,0.37015834887457605,0.351718734159592,0.13711700639549543,-0.20449149579132658,146.46107907476426,165.13364263630754,110.81034805962054,186.0886201681793,108.11264785018885,100.25572561150807,379.59550437018277,658.9041449090362,673.3714880080206,2732.0229150640407,2807.258152345084,1512.1642392245462
34,A,IMP,2021-06-17,2021-06-17,2021,6,35.0,36.66666667,3852.0,-81.2114,27.1871,96.3,34_2021,0.7480018554351429,7.757391537050564,0.36725606004197137,0.2909371693806153,0.5245872506274244,0.48467405028443344,46.137904457120136,0.4338164292894717,0.5614202349229447,0.6472062691524733,-0.04565508008979559,0.19387503206856765,0.5017403886750302,0.3436877073326332,0.20335539485082318,-0.13491651218536926,135.2969745044547,168.49502283451594,93.5608847904999,206.9351361850514,91.1546832034046,83.23315770745194,270.85114766023116,632.5322929199529,480.7535415419008,3328.940653170342,2248.83040719019,1039.0254100051056
34,A,IMP,2021-08-10,2021-08-10,2021,8,43.0,44,3096.0,-81.2114,27.1871,77.4,34_2021,0.7582173285777677,7.539507921552451,0.37792669517234745,0.2686036095353927,0.5525657576092963,0.46844423698244625,44.8809029499757,0.4029974401844242,0.5616025701922488,0.6457555977161591,-0.041545431102881863,0.22096560894649508,0.48403853228227867,0.3104734794144465,0.19133717501133365,-0.11401985336495227,139.98918066970765,170.6593511349602,96.32596857947699,202.973200040927,93.4976718486122,85.2854319913312,253.42436357436827,552.3565999701814,423.56229945417,3082.6284751758817,1968.256388134564,888.8154794981564
34,A,IMP,2021-04-13,2021-04-13,2021,4,26.0,27.33333333,1544.0,-81.2114,27.1871,38.6,34_2021,0.6706341807260142,9.459134262291043,0.3154898628715623,0.29513530671334615,0.38742285414664407,0.42222815843761097,40.33260706552413,0.3662143171015205,0.5696304367494369,0.6228587901367615,-0.0357158858186767,0.0817894317053949,0.43708212908864896,0.3536199797956907,0.1655547773108842,-0.1737558367681068,138.67505443492945,168.41901623522773,102.5515202738071,202.71069569866347,100.23399078563558,91.57127989447646,362.36795181393376,703.1040341953036,594.874043429311,3020.7798666378226,2561.377175734292,1332.1971135753147
35,A,IMP,2021-10-06,2021-10-06,2021,10,76.0,84,5124.0,-81.2098,27.1879,128.1,35_2021,0.8286952147772894,5.461058400678526,0.4104110284087785,0.28304466011068147,0.6500389420627457,0.5631731461924527,53.33142844077844,0.5226987210749322,0.5629532481716044,0.6878712321018494,-0.04829850809445801,0.3265760329801804,0.5939758145089673,0.3422086495856696,0.2532016572692649,-0.09740131028315374,135.4672290059058,171.35414186720985,83.99533124138425,209.7783303219622,81.36040157777235,74.53299833241164,196.52314311350995,538.1174555092135,355.57251118746024,3787.6677178592563,1926.7998608369655,804.7634007358031
35,A,IMP,2021-03-09,2021-03-09,2021,3,23.0,24,1276.0,-81.2098,27.1879,31.9,35_2021,0.5923318557036507,11.681598989034166,0.2956982475435499,0.30490474295015885,0.2742641261212706,0.36737675764801403,35.16820392329147,0.29545209638724473,0.6217640119904143,0.6074623368765185,0.012237015380479867,-0.023042927530057086,0.37005094155546503,0.3660437831571689,0.13850280402389165,-0.21563347655723555,146.44682955606874,163.74949083367852,109.92096378052017,183.07737026461442,107.18888801117113,99.22709839483203,400.88258440394776,684.2209901044197,717.8870530269048,2806.1092905487963,2939.970674783234,1598.1043912033692
35,A,IMP,2021-06-17,2021-06-17,2021,6,30.0,37.66666667,2732.0,-81.2098,27.1879,68.3,35_2021,0.7424663639734768,7.8626848892137895,0.3629909877113882,0.29683503662438626,0.5212961938437967,0.4998014420832126,47.38258400259203,0.45880811994480364,0.5607359005579521,0.6401385436380568,-0.04135428892815154,0.19615027930133438,0.5168866229638028,0.3660914400476487,0.21649579475817357,-0.14283094843688954,132.88547907141378,165.96601773654294,90.79874037050992,206.62801899311887,88.57929863776718,81.11586260922847,274.65587072082667,670.736967652075,522.6655869345022,3548.422424107158,2380.2336055309024,1113.569312497164
35,A,IMP,2021-08-10,2021-08-10,2021,8,29.0,31.66666667,2920.0,-81.2098,27.1879,73,35_2021,0.7370259136664606,8.11794759884432,0.3663379423137292,0.2947428238592374,0.48542785542799755,0.4492070530725802,43.14675011714049,0.37905310124587827,0.6080913095726046,0.6634194471596481,-0.03108732766981161,0.14450541148660812,0.4560247086595546,0.3163585037263031,0.18042100566080982,-0.14050334827438654,141.43932022703146,169.029580405083,99.52095516294912,199.06821749483848,96.73014189924359,88.47364952810739,243.84027553294783,541.9924174747,448.97955912907406,2980.528832351023,2217.6162698983953,1026.8640380103684
35,A,IMP,2021-04-13,2021-04-13,2021,4,27.0,33.66666667,1912.0,-81.2098,27.1879,47.8,35_2021,0.6472321168913332,10.027069724431875,0.30602772031175646,0.2900772402774231,0.3616277863419172,0.4054796368214707,38.75782091465604,0.343509643392828,0.5804398634475703,0.6091301217671611,-0.020203771689157154,0.06241538643575604,0.41508477864688287,0.35399687607564456,0.1577892564127208,-0.17998775652770427,140.8073970996162,166.34670237468683,104.42170666744498,195.87656977064114,101.97100929416246,93.5179010894528,369.382847898237,691.7852499627642,632.1183970931813,2952.962941156884,2604.505275253122,1383.9941942457838
