Pasture,Date,Sample#,DW kg/ha,%moist,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
P13,2019-06-17,3.0,3203.2,63.0,0.7556793829360231,7.465283738310724,0.36830992569328047,0.2657004417023862,0.5671565000206137,0.49836089435697695,47.35901185627499,0.4537384801899344,0.522692355740101,0.623250448875189,-0.04736399167806229,0.2534235753882441,0.5191940785392434,0.34248250354086446,0.21419852727084374,-0.1139551835233108,133.38421856563633,167.83058490525505,90.98643266618312,207.5630606952104,88.65607046420185,80.92791510676327,268.68366430975396,641.668935313154,477.01054745673287,3449.592295264599,2050.5563902980375,949.2906644869297
P13,2019-07-16,3.0,5000.8,68.4,0.7899164797488475,6.591271983012833,0.39102829007389667,0.3005684664875325,0.6142465738436625,0.5813031933106378,54.81527207047726,0.5824848790543089,0.5269089335746763,0.6470907019073088,-0.051391495224327705,0.2945218715944154,0.6286076260732046,0.40845343055266625,0.27706239291460216,-0.12261696991525887,129.04845198250717,168.107190815305,79.45919989369494,214.9589894021877,77.29339882114182,70.93797998658171,293.2748242362527,727.266656657635,504.5868969677002,4308.384372958526,2346.6657176045146,1028.8542879585466
P13,2019-08-14,3.0,6083.2,52.8,0.7023353778833448,9.085932831892944,0.3551856556391475,0.2901284278581481,0.49426845482791526,0.48536029223772126,45.9664963039133,0.4457444953442051,0.5696601258779983,0.6067882423671164,-0.018308175473808877,0.17486359604887214,0.4994917132848371,0.3846446522987597,0.2163632593375579,-0.15303885555206354,134.75097155470306,161.68300509753487,91.2029642827928,195.8879042161013,88.90902128670778,81.90087104909487,311.0036018769018,690.5629909586937,619.4884818103343,3637.9389812343697,2521.034411382528,1204.7548366866683
P13,2019-09-18,3.0,6239.2,52.8,0.6567483925314084,10.411333686382422,0.33459564461075897,0.29071740133131563,0.41348816880636596,0.42360645297827804,40.33689520198975,0.3631810644424837,0.5821336077836811,0.6012080222780661,-0.01315500720259013,0.09099142856871482,0.42959442332822967,0.3620847345485038,0.17246175735264896,-0.17143132996377927,138.27224933744083,162.63344933394006,100.0529139455951,191.97901903065397,97.66817264864993,89.78864393167804,345.5697875826267,688.6610325378741,647.7435327273669,3125.50696656101,2603.348199349848,1295.9145727073128
P14,2019-05-16,3.0,1084.0,76.6,0.8380756382542066,5.111173338043227,0.39303675564916407,0.2826831895545356,0.6641391037846386,0.6021075706753987,56.855193944338524,0.6083198769389149,0.4710086354721984,0.6794041476558079,-0.08029293770535859,0.3649392948526124,0.6783878193876762,0.38018356909915374,0.28085729903401596,-0.0909074742602998,129.61643630707547,178.63271158785025,79.04380138372117,226.08189445861694,76.73667525768846,69.82986963943084,303.3365711559659,707.0979286428835,373.14433486343717,4235.804864789279,1963.2868215334154,845.077743263292
P14,2019-06-17,3.0,2997.6,74.6,0.8487696151250952,4.833084827212464,0.41917789852800996,0.2684254425792208,0.7194495574557889,0.6401682617853612,60.37788879881473,0.6680989158809705,0.45519755561064956,0.6602110913750739,-0.0672569348568161,0.43016428081018665,0.7078714359636147,0.39936353316849177,0.3181948671629334,-0.07202199098858166,125.56828987353914,172.05317238573033,72.95509674635997,222.95164579580396,70.85977351860727,64.87482877456257,239.24848703430388,697.0998419663014,381.82056380651335,4679.843817195702,1862.1693034092073,762.2450986123037
P14,2019-07-16,3.0,6267.2,65.6,0.7957897089821255,6.401532627366756,0.39233755377670215,0.29706291209350033,0.6306534765142895,0.59745769137312,56.33976032440256,0.6162438099652201,0.49939897121454296,0.6412520463200172,-0.058846057226673694,0.3175082399684997,0.6493801558808722,0.4208484850731247,0.2908158149555127,-0.11628771391894487,125.62123638440396,167.52657812383302,77.08006273305725,219.28688444431745,75.11466290178632,68.86176557396671,292.7789478684838,776.5834096427242,509.59829071713307,4499.835314417326,2326.673052940438,1016.311413002808
P14,2019-08-14,3.0,9068.8,52.6,0.7060631165213715,8.968542551478055,0.35579828511349826,0.28678301454257715,0.5052115609913924,0.49092738999135443,46.46344162460804,0.45358442206754496,0.5618185206012123,0.6021539327216884,-0.02043955548785794,0.18745457751905714,0.5033649052224993,0.38651442874901387,0.22033394334887935,-0.14930266925922797,133.25846761628665,160.78920548565233,90.12494323868263,196.70417014471545,87.92717113515221,80.95477904045319,302.0234627768377,698.5695668859814,621.1134780091521,3687.0945349727604,2494.5772532747346,1188.9087122470435
P14,2019-09-18,3.0,9870.4,41.2,0.6029984799599275,11.990538259178603,0.3199741545291564,0.2773220258923012,0.36250861916921384,0.38294290530180447,36.568851427221816,0.3115433536547385,0.5956924807318342,0.5716333228345204,0.018082808656854188,0.04883458032807489,0.3772940329814922,0.36291180119442823,0.15354419266813446,-0.18422826929305824,140.794758908635,157.62575774694005,104.44180266762982,177.76614146468577,102.02563389731444,94.52632112446926,355.4407307918294,681.6207073716615,737.4705702413144,2961.4700998413455,2698.8421834937135,1399.9416199510274
P15,2019-05-16,3.0,1450.4,61.8,0.6325676188858371,10.533312507668619,0.305265740192058,0.26364597108100546,0.3811521975738996,0.3899202087542869,37.36222873593035,0.3262609606326564,0.5515166304904134,0.5784485340158594,-0.01840807224506539,0.08656522541093868,0.39362141624386116,0.33800969752417226,0.15085806529243553,-0.15976087969262429,138.7212505011665,163.83873077662295,105.42862673029731,193.67845668039354,103.24230082753184,94.538828369513,354.40394226586545,689.7416707151493,635.8370627432525,2843.1415196115895,2385.6517914682154,1268.5024039530635
P15,2019-06-17,3.0,4064.0,55.2,0.7371961341346405,8.012136458079272,0.3608175282534028,0.2604935698245984,0.5477507925831194,0.47874185673281966,45.55264664752207,0.4232165909873553,0.5399013641133049,0.6087370339471865,-0.03435345170278341,0.23383262416808934,0.49032055425760945,0.335455203248822,0.2030553978532876,-0.11739532755402932,135.37025289206892,165.5478604602594,93.08979094024507,200.9750713531217,90.6389287208433,82.93633990151451,262.5180747976514,614.4491794642965,500.5596343024825,3316.1833977893734,2056.418450660678,966.897378809547
P15,2019-07-16,3.0,6709.6,58.2,0.7603245723007016,7.5170598295610995,0.38207648908907477,0.2949022371630473,0.5750734541811384,0.5382704423925365,50.82492180279046,0.5115811213281571,0.5539742813772766,0.6324863963422518,-0.036401244855125754,0.24826955995826824,0.5663582159164736,0.3880416894726926,0.24666829926294573,-0.13231995130583668,132.42075672912202,165.25386283911254,84.6242881123926,205.36452461263508,82.29033822754647,75.63431001567103,285.7364359452133,679.8097197602374,536.0327580438219,3932.9210587410194,2370.836465364466,1062.6672698242621
P15,2019-08-14,3.0,5572.8,46.8,0.6760792163130995,9.98343660926301,0.3488894609570671,0.28770219400414493,0.4637995749265153,0.45546076438591065,43.2107170095113,0.3988256179967765,0.5930343117583731,0.5936277394063736,-0.0011886947119334821,0.13797026337734908,0.4571969440217014,0.37611949398134353,0.19812411511858913,-0.1624029027747107,137.37682168657005,158.79410491908865,94.41636363442738,185.57062106874622,91.9688016846219,84.96059664743343,306.0661749898376,658.9943075468824,658.4764526639748,3427.537790407329,2581.6631974071715,1244.6911263160653
P15,2019-09-18,3.0,4630.4,49.6,0.6496329591132054,10.716903454233588,0.3359285832359459,0.28286478488441713,0.4085543341495513,0.40545324120802206,38.774461503982565,0.3349874208346202,0.5929747760141255,0.5973002444452286,-0.0046587225404485285,0.08290647799341981,0.404791973778321,0.3425722446463934,0.1615469761454349,-0.16471189239622983,140.44119774661795,162.0078466181037,102.6276510203567,187.04926460785455,100.093495267993,92.05737906282732,320.37753499055157,637.0591509261474,625.6826462077219,2939.659633003179,2489.935953801095,1234.2094662203183
P16,2019-05-16,3.0,2242.4,72.4,0.7422338270393887,7.519147159995868,0.3405548805998682,0.2787337872473634,0.5213877462494907,0.49955768992556193,47.35608518814295,0.468331875404179,0.5093945414519526,0.625246921920608,-0.05962977098760844,0.22150945228691124,0.5352796399231404,0.36533086315536956,0.21344807701588853,-0.13250726982178743,132.68293874439433,171.09107955694745,91.35256126655229,214.5393073784312,89.14831389592509,81.17555153600667,341.7664526968819,731.607876792551,519.5983568309829,3542.226067179416,2251.9773046633095,1107.8912837143923
P16,2019-06-17,3.0,4680.0,64.6,0.7376882129076423,7.922689290817998,0.3558608260266642,0.2759662723427986,0.5511094721416276,0.5169508787702478,48.846826957199426,0.4911663066471144,0.5165499270927371,0.6042109265704382,-0.0424514192061954,0.2437589326527247,0.5422383669932683,0.38543197830564224,0.2323688423635788,-0.13067245773869626,130.0382297420788,164.30324830702855,86.90627425467041,207.5566443096353,84.8156232474636,77.72259638833403,310.8033611843017,738.1273490981563,575.6755257791107,3810.563180010661,2318.2970131397833,1103.0214312726291
P16,2019-07-16,3.0,5430.4,61.4,0.7322558028385733,8.340952835907917,0.3696393841472769,0.3005464964157638,0.5399131939832353,0.526042534273823,49.63994748095846,0.5090974689602449,0.5395325436353232,0.6156044262585149,-0.03940306758023797,0.21296667341796904,0.5542054668775575,0.40949958243209783,0.2413391453363275,-0.14926674486542268,129.64086581339362,163.28617228568973,85.29349678094542,207.6250493214604,83.23160756736047,76.42930108965521,331.82301453554845,772.5461625232427,615.3641252128742,3980.4826747950083,2582.9521153764313,1189.5058656673814
P16,2019-08-14,3.0,6182.4,48.2,0.6797819480809357,9.960169553251326,0.35425383352771966,0.2909948098169284,0.4738428505493997,0.46511057447687,44.06155328784733,0.42013469584919166,0.5690594203076875,0.5938374869793883,-0.015282481578969805,0.14477800100353952,0.4718538232962063,0.3870638392474931,0.20375645881293744,-0.1623952563604702,133.63254909286806,159.2335333185525,92.87871652223586,193.0013994932432,90.7227109549287,83.52555959377429,324.0008818532418,720.1487346970117,669.1711249925262,3531.5474356542763,2624.4325180166343,1250.6423688315558
P16,2019-09-18,3.0,3789.6,55.2,0.6627882280267442,10.420282570860383,0.3437862985167135,0.2893297067071825,0.4296783949145775,0.425309122429692,40.52444582596884,0.36677486984286156,0.5717111852792671,0.6011830435049216,-0.021449225259817125,0.09920053564063933,0.43019496750365027,0.35732872940617183,0.17280932015256628,-0.16480154035604294,136.14674581768935,162.498527581529,99.60513350995453,194.79655901740227,97.40359715777781,89.23463152834886,334.04068974125516,695.7280602670189,631.9671203011859,3109.940475913627,2547.4688195471035,1239.3153711925768
P18,2019-05-16,3.0,1251.2,73.2,0.8284704405630052,5.469990963287153,0.38899225504392837,0.25243500563201826,0.6579359512027947,0.5442126836961638,51.769788468234076,0.5121937583364203,0.4623223924369648,0.6660131713261599,-0.08151675214692969,0.3563545246450101,0.5923346918387258,0.3239912818960151,0.23564366544850493,-0.07764441643420589,132.27802843366845,177.33400524078323,86.97322633423539,220.9209517459146,84.53773405140215,76.50845894494974,256.8546516456249,620.6232704661122,333.15420003933616,3578.630473302137,1680.451736300452,720.290927157591
P18,2019-06-17,3.0,3200.8,,0.7881347010312434,6.515672628231549,0.3823260316980354,0.2600069233428382,0.6322892782906666,0.5545919538226203,52.39302290124594,0.5378774165120754,0.47722967430878116,0.62172930508484,-0.05816848231725698,0.33259817625805493,0.593890800704745,0.36929410194417667,0.25365437638610894,-0.09632306416748972,128.83199183238642,168.79954995442165,83.03291234682165,214.75718151725988,80.86885014206399,73.86662920489303,275.2738557772802,697.9635482337777,465.8318340811507,3949.615647305217,1975.9886263342614,887.4973174975527
P18,2019-07-15,3.0,3860.0,60.4,0.7433143450912286,7.878545991510325,0.3677139119867482,0.2859835754125232,0.558470264094613,0.5270044369314293,49.761969029865995,0.5099678463338276,0.5124465933728112,0.6133233793812781,-0.049127577153289234,0.2416284407711856,0.558633326314881,0.394549008736011,0.23888123431835556,-0.13332772491768552,128.82170902246847,165.36051864698445,85.66373864886768,211.42097935324605,83.6383546416378,76.56045467850288,324.67078492662785,768.17749601154,574.4057118939485,3905.9296564181395,2385.428728265615,1106.5904361613252
P18,2019-08-14,3.0,5282.4,52.6,0.6654178111741771,10.296509671981863,0.3458029897536719,0.28055722513380027,0.45707248198515377,0.44529845526627226,42.26328777182994,0.39093600075936674,0.5721797139623388,0.584547262943086,-0.007279712404911615,0.13485026690845667,0.4493979338052556,0.37327877743246873,0.19093897479345426,-0.1596972719985676,136.18474223333706,159.4274196597568,95.7428942791142,188.88329033851633,93.42706975033352,86.11248812850114,328.029542792186,691.6372093408355,668.620190685747,3358.518425749449,2545.2390410451626,1240.055098168696
P18,2019-09-18,3.0,5299.2,48.6,0.6248700329777359,11.567571035180356,0.333724567206095,0.286787516601187,0.38178543742159027,0.39309073931368393,37.551920133108624,0.32608675466841125,0.5867745334496983,0.5900523721461852,-0.002552959507132268,0.0548591758973362,0.3947793578834517,0.3542203017798532,0.15540606674159108,-0.17649342167292398,140.12161512233035,161.52588753112147,103.98692232202971,186.86095548086655,101.56352033356782,93.49810332286259,361.2346582163848,685.1363576453494,677.9069329409206,2934.5664080417555,2630.636880185939,1313.511739611655
P20,2019-05-16,3.0,1357.6,67.8,0.8181981712693865,5.722465640563599,0.38787690361186783,0.2553604591997601,0.6460941412733904,0.5384760965893168,51.16578649427966,0.5052775322530387,0.46429618887946084,0.6590398491302341,-0.08042166499279313,0.3411414163315857,0.5822186406604282,0.32756230025513616,0.23174822185090235,-0.08313265536921986,131.29653587527883,176.0033027359193,87.34298054390808,220.69126801579614,84.98888691816185,76.95111667576461,261.33709111917153,639.154681379274,355.63572387632064,3557.3619383386686,1740.9030973104877,755.0088061177028
P20,2019-06-17,3.0,3348.8,,0.7994283257477319,6.4220331173318925,0.40456954307284426,0.23565923452433232,0.6690726768139816,0.5329865140107468,50.56812931513052,0.4911478533712386,0.4767945131303631,0.6154914799157126,-0.05407069687555721,0.3628303930162291,0.5531931233263372,0.3269040673255912,0.23564239068398918,-0.07551130261417392,130.41129287009682,167.34869192798593,86.02981542393515,209.87930850895702,83.72814384285051,76.33798602904646,206.20355794278046,596.4666372029046,401.47187578804034,3600.9765326666497,1682.3179741710924,713.21160181914
P20,2019-07-15,3.0,4858.4,61.4,0.7629294003711653,7.531068877387171,0.3889828867228988,0.27288795925292214,0.5981037883036435,0.5224922983979564,49.4472227465111,0.485791671176168,0.5304636279581209,0.6170855610388218,-0.04214213648468628,0.2713370335656403,0.5428141821243329,0.35865754145849427,0.2334913015755709,-0.11171367644413986,131.6606534169041,165.0662604666946,86.64607420103619,205.92031190794546,84.33701236477636,77.1644991227105,255.85182565932806,647.8967475288591,492.0035787949711,3696.6725847233142,2107.4994043824313,922.6404569482129
P20,2019-08-14,3.0,2280.0,50.8,0.41232963947893375,17.300445109128365,0.25872096017705554,0.23864071213479737,0.18991035085665245,0.27812271865365507,26.42741122684428,0.1918562937249867,0.5842315568365403,0.46659774987352914,0.10852260302327832,-0.07819770835414862,0.26401973599891965,0.4419571652942946,0.10912403904791905,-0.24952801922197235,144.1286675778184,143.77864895957862,112.61718206880643,145.30568103653385,110.37574473371109,105.23816558681706,582.6205071371,908.2923499063165,1252.721828955613,2958.189137682538,3430.6972243573136,2000.97520232714
P20,2019-09-18,3.0,2677.6,58.0,0.6746289446699353,9.985556228287017,0.3470687857449078,0.2993561058353114,0.4241446614719024,0.429245040891008,40.94569479782888,0.3710008478945847,0.5810164361410746,0.6222844046764133,-0.026432921984221487,0.09137904002636968,0.44405171708018615,0.35354944221765094,0.17241338215971763,-0.16763513053021262,139.7649783665463,167.06475371893694,100.59693946661054,198.12042412688336,98.04492756953132,89.79610625302115,355.5292981112282,677.6416376121997,593.8386124450954,3079.4467788931265,2558.892891589012,1240.7790232028265
