Pasture,Date_mean,Treatment,Year,ID,Season,Low,Biomass_kg_ha,long,lat,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR,kfold
J,2023-08-10,IMP,2023,102.33333333333333,8.0,44.333333333333336,3680.0,-81.18836666666667,27.1647,0.7705536641006258,7.573140612257148,0.4125726952120823,0.23515228612852337,0.6443017004773098,0.4949274710711309,47.18175572655372,0.43935409338281245,0.49847155757629785,0.603120602392475,-0.04371308422847653,0.3167257415496169,0.49728082242478494,0.3138095986504404,0.21309195790427263,-0.08328157868363993,130.52178753599418,163.19292235341575,90.21465428676402,203.32844359657372,88.03241119343757,80.27016241798088,185.64750356350024,579.3463187354455,434.67687296205736,3329.0217329770844,1733.8224716321195,722.2013918016704,1368.9547910637666,3504.339728678176,3198.23278579718,2915.703233537772,2814.2946581024194,3350.662595901741,3210.8659393973985,3139.389166666668,2630.1353572921057,kfold3
J,2023-08-11,IMP,2023,104.83333333333333,8.0,48.333333333333336,4331.333333333333,-81.1862,27.16501666666667,0.7946472665367478,6.832758334050767,0.42809362105529475,0.23473746570195594,0.6657094105605991,0.49826507685116356,47.74066256387507,0.44035985131864,0.5060294080925279,0.6282398490469302,-0.04806473915092598,0.33557716593653647,0.5048824888351867,0.3012545947180497,0.21342650205097544,-0.0778570724927102,133.2576488529161,166.41736431666678,91.11062516963814,204.608643375485,88.7040388023138,80.76207427628289,172.91388410224224,533.0564069767523,378.9136957849792,3269.98028170667,1647.7390552361205,669.6200629712959,1482.174504671362,3629.923668135391,3363.000182809534,3186.6800595666436,2861.6403269360853,3508.5711023324898,3428.3336612695884,3619.208333333337,3023.9411380142315,kfold3
J,2023-10-13,IMP,2023,104.0,10.0,58.666666666666664,6573.333333333333,-81.18692222222222,27.164911111111113,0.5942089310318079,11.484219143620287,0.3040614690732055,0.27662300564445674,0.3047114525806782,0.35243106339257324,33.99643599644422,0.2717186256396635,0.6202581155119912,0.5979077380869433,0.026107476037837432,0.010347027527770709,0.34429560373382334,0.32835285170797196,0.13230705672080148,-0.18388742731679306,145.8699048058409,161.311560714421,111.88455202363119,178.64791361686088,109.3038683638528,101.61777064297058,315.5235952868877,595.9450819025553,652.6719407103885,2601.060938027649,2552.0151060561516,1390.4407199543748,2115.924056568104,2725.05933512037,2564.627798811299,2498.0452435511825,2389.326483573515,2559.770744009889,3021.9628681452264,3140.1466666666674,2762.078116925292,kfold3
K,2020-03-24,SN,2020,71.0,3.0,,777.3333333333334,-81.20124488888888,27.130137444444443,0.5404095455246772,8.593491941170868,0.17337904493745585,0.2518425617099052,0.10671328049769431,0.2942353764022028,28.865363131348456,0.22053368699056364,0.5946582131448674,0.5883365600438362,0.008002288702809834,-0.06666696742980643,0.30087219160843864,0.314395262969767,0.0920097824451259,-0.20728312147286612,157.85542702414872,173.3114966726922,127.02495360953152,188.1802400585079,123.95568282020064,114.61499716464209,431.2452424633678,630.7585501908245,644.2252074449958,2190.298023571485,2484.6246892637064,1754.5070284067394,1303.7503055458983,977.8952973945846,641.9988987944458,709.5135277691016,727.5592652183335,789.9035167213196,749.5491434158434,872.707777777779,1929.973394787248,kfold6
K,2020-06-10,SN,2020,71.0,6.0,35.44444444444444,2614.6666666666665,-81.20124488888888,27.130137444444443,0.7179129722588484,7.178606188066673,0.30561490017056,0.27833502075704186,0.4621727605583091,0.4966955133574953,47.04108135166404,0.4635118553610774,0.552681238161712,0.6253667758899817,-0.026759761011696855,0.20014451205150297,0.5367562186892012,0.38736118534942937,0.21789843770161998,-0.15708287200325824,140.20733708945787,170.65064816746798,92.81715224631034,202.79161333621252,90.20079132027489,83.190611543303,371.175606741059,698.3031508065073,582.4970024561259,3675.8726706395846,2445.9223543869894,1351.412240774229,651.6150012802798,2084.8118369554504,1715.826109073858,1712.7381013099666,1711.2639536030488,1725.6597165385335,1968.9731216550883,1844.6179999999993,1895.2351195055537,kfold6
K,2020-08-12,SN,2020,71.0,8.0,63.0,2440.0,-81.20124488888888,27.130137444444443,0.8308137680967654,5.331487527826192,0.40820587829531924,0.25699242567400077,0.6706720852467347,0.556217087458433,52.80411196817412,0.51083652285868,0.5449807690417183,0.6710485177260468,-0.04481986774165972,0.36372012631321843,0.5869831056232013,0.3272426305381229,0.24947760751238293,-0.08132630713657785,137.5657569055594,171.71020431192193,84.85514560054592,207.15097274231644,82.05960605666424,75.15180852757037,192.89136512016142,508.1740053367246,340.20184471035714,3705.70785721707,1724.7996846634578,727.3905633216901,873.3770203338349,3507.897164353899,4042.2573941501714,4500.6579430904285,4638.065760526161,3687.9263252365713,3796.795515855293,4082.609166666666,3652.657955293246,kfold6
K,2020-10-14,SN,2020,71.0,10.0,85.44444444444444,5946.222222222223,-81.20124488888888,27.130137444444443,0.7872536115937969,6.736652729999865,0.39585875698828116,0.2506971152551312,0.6064013578845802,0.47889722044361044,45.994035671124855,0.40021280121800906,0.5908099153001576,0.6528049464329666,-0.0266306233176721,0.27788346236187844,0.48671866706500944,0.2890875887990758,0.19802901365182982,-0.09379078296205297,144.23936612155185,169.66157059810672,95.01794616242339,195.6284366954397,91.8111813960617,84.07431078042048,190.3718496341357,446.1979065574695,363.76770841803506,3053.7238911142667,1728.4829250076616,748.5349360516354,2139.198468394728,4021.403280589965,4262.803557340602,4911.046996285907,4432.045947007364,3950.5754442322764,4160.0265247633115,4538.124761904758,4166.311853848318,kfold6
K,2020-12-14,SN,2020,71.0,12.0,101.44444444444444,6013.777777777777,-81.20124488888888,27.130137444444443,0.594151468481142,12.312013913602991,0.31863165003401916,0.2489497174403181,0.3613277473691486,0.34033239150639105,33.03017404298657,0.24285862583644924,0.6424036832024322,0.5621295420293688,0.057352637920305934,0.04860219374039656,0.323162722934332,0.2981655394842575,0.130014833114949,-0.15324184365324334,151.64204810989614,157.86257998934158,111.38042243075591,164.88455758317838,108.0008253222293,100.93429342777614,267.9787970976239,486.44117041994855,626.2378586114932,2464.2025057943424,2234.8868789293833,1154.294291288993,4797.1625582584675,6536.24636639951,4847.191576621865,4425.691306458614,4892.360115840275,5749.0440547961625,4788.434394786519,4160.6113888888885,4031.7156968468366,kfold6
K,2021-03-11,SN,2021,71.0,3.0,48.333333333333336,3211.5555555555557,-81.20124488888888,27.130137444444443,0.5002054625270451,14.654969645729178,0.2817906833434758,0.2647321626368681,0.22658244837707203,0.30021933924153693,28.90161180734861,0.21125981846505099,0.6294084697068482,0.543243416889494,0.07782797343928045,-0.058995365054988626,0.285834271249649,0.3484036824487125,0.1107768985982677,-0.20788011863635913,149.3110543455053,154.2430030323062,116.26724459050018,160.5395523198755,113.51883687848775,107.0983387707107,382.9124294410087,641.5202009767446,831.502727717606,2504.3992043608378,2814.8512710823848,1574.4962591632539,2483.224250170552,4287.866630001861,3919.928988158023,3949.461798049243,4051.8023077500825,4150.580114519047,3803.7455815680514,4604.046190476185,3056.454288937978,kfold6
K,2021-06-14,SN,2021,1.0,6.0,38.0,3400.0,-81.200284,27.1288,0.6563335495460619,10.736723024352507,0.3485960369832459,0.3006993945302795,0.4133375119509226,0.4220242526621112,40.20467259930139,0.3597298696272595,0.5956258134540683,0.6108541047586882,-0.0107046029960122,0.0758189780390855,0.42687665876624,0.3634285721844835,0.1716156606279887,-0.1770723855511757,138.8735082789461,162.4279995496817,100.26815303701083,190.76705496760417,97.82939856797354,89.98976242000865,343.3258757532621,680.5829190596427,648.7472114785726,3112.382622899494,2680.0786975177302,1297.066691930273,1257.0762294349888,2344.5664106834383,2640.323109653696,2943.768527257194,3161.8225592258455,2766.8177402433766,2811.6116704860033,2896.887380952381,2385.754942218395,kfold6
K,2021-06-16,SN,2021,79.75,6.0,41.5,4799.0,-81.201365,27.130304625,0.6743758529276387,10.169522390424149,0.35546840403232033,0.295626536952803,0.4424307447888998,0.43435361257892097,41.3682038213382,0.37182899681127923,0.5931500496706368,0.6137890425150269,-0.012558523951566838,0.10460133737473483,0.4392189589575551,0.35629470948317776,0.17872816058637317,-0.16517197402325842,138.6760581287456,162.78197569737816,98.71771824195942,191.65700761740385,96.2251764972815,88.51440660129852,317.1188350059992,652.9830611398091,612.2913562970153,3150.354487240095,2556.264825837285,1221.120156680599,1289.829168842679,2500.699442255029,2730.0379534592785,3009.112051872416,3165.062834134037,2915.6630769330736,2988.4146437541694,2930.0624206349203,2762.556785895086,kfold6
