Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,FMASK,SZA,SAA,VZA,VAA,maskcov_pct,ATSA
112_2020,2020-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-03-29,0.5270756539570939,10.253393867312631,0.19921932682375154,0.26230380773324924,0.09847669272255422,0.27592646470514803,27.291884322401895,0.200418,0.6080786011648756,0.5975621751889437,0.010094319868170686,-0.10274278015145435,0.2739142712305083,0.30302073000000007,0.08344003000000003,-0.20760433500000003,154.85591413798403,170.70407886130857,129.08250291056004,186.50065065682895,126.51042982303517,116.86160978952574,393.0,612.0,632.5,2046.5,2513.0,1676.5,,,,,,,
112_2020,2020-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-04-03,0.5573159122280927,9.40082403144893,0.19841696448052554,0.2906899897874412,0.09167543521214035,0.30691642789839046,30.01680336666035,0.230508,0.6351269224899531,0.6280365018167697,0.006574130956610147,-0.10868860089381491,0.30658771198536705,0.33008677500000005,0.096548515,-0.236049615,154.33769781980874,171.55168138544968,125.44635091017943,189.05420575197348,122.74560693693294,113.4140584490261,390.0,626.5,641.5,2258.5,2808.0,1878.0,,,,,,,
112_2020,2020-04-08,0.5461326103889479,10.304186534155082,0.21306318310173783,0.28994244964788074,0.10463911838590091,0.30184130792636205,29.497993808719812,0.230712,0.6157320265302063,0.6195192668890693,-0.0036413290851160674,-0.11090869116261612,0.30642175026555873,0.332832495,0.09415339500000001,-0.23205037,153.1941887636307,172.38249616166928,125.59146878307146,191.88553659524845,123.01529124429297,113.22881776846836,430.5,670.0,662.0,2255.5,2818.0,1827.5,,,,,,,
112_2020,2020-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-04-28,0.6115773613789748,9.50194912594482,0.24553938315557833,0.3295809664347543,0.19245406520558944,0.38571327004457095,36.83451552932354,0.33186599999999994,0.6130209204103503,0.6453073411128505,-0.02721045599125827,-0.05572160993826805,0.4074036472674256,0.39663768,0.13897813500000003,-0.25757166,146.0093933212042,173.2487606007842,112.11742437416612,203.46352325921566,109.68036003520007,100.7187533684914,471.5,784.0,704.5,2923.0,3268.0,1979.5,,,,,,,
112_2020,2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112_2020,2020-05-03,0.6175555185671515,9.407293091087729,0.24836233484549014,0.31762372715177833,0.21242348145083234,0.38065620598513655,36.47204364278649,0.318288,0.6178242825607064,0.6404858773624224,-0.01842949332150457,-0.03794123443496888,0.3935180867900675,0.37452608000000004,0.13754163500000002,-0.23758168999999998,146.43808582855567,171.13524088970757,112.1723638171672,198.47087511971733,109.64354767632048,100.81693171386547,418.5,719.0,667.0,2821.0,3043.5,1832.5,,,,,,,
