Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,FMASK,SZA,SAA,VZA,VAA,maskcov_pct,ATSA
FE-20,2023-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-07-15,0.4770920235904333,10.477739287739947,0.1741041703870939,0.2178557969787354,0.1428123946076663,0.2876826876997894,27.66093757647937,0.2175599999999999,0.5390516890551355,0.5014707724178551,0.0348231516218177,-0.0319506016104596,0.2857474574474878,0.3595299900000001,0.09650997,-0.2093058,146.5005084706695,160.41500290184752,121.18973475056004,176.29293813124175,119.22638966852706,111.05681667114128,496.0,792.0,878.0,2482.0,2644.5,1861.0,,,,,,,
FE-20,2023-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-07-27,0.4554744832063949,11.513841505090252,0.1820795065350716,0.2198641626352675,0.1283398223533093,0.2735915118969749,26.32276995266651,0.200142,0.5499764092358209,0.4979428890099692,0.0501117545980172,-0.0549391833388966,0.268486717276366,0.360575885,0.090785475,-0.214827525,147.1209980386738,158.36207318636514,122.62525232319928,171.1747337512816,120.69701010768212,113.0132600345195,496.0,787.5,909.0,2430.5,2712.0,1877.0,,,,,,,
FE-20,2023-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-07-30,0.4336204618758671,10.87245010104784,0.1598967066810289,0.2131171705445572,0.083799527785226,0.254969657086207,24.620387557358548,0.1808759999999999,0.5505589108602218,0.4942469124538771,0.056819425547147,-0.0771093049411004,0.2502743100763502,0.35515679,0.07993888,-0.22026437,149.7641667333353,159.627913531461,126.71428865449528,170.54657967815854,124.76927198108442,117.19466030628476,509.5,781.5,912.5,2310.5,2696.0,1953.0,,,,,,,
FE-20,2023-08-04,0.477048906048906,11.838142803412683,0.2008050371641878,0.219357663103004,0.1596994723175259,0.2713293352244696,26.362965112055107,0.1984979999999999,0.543555830298071,0.5091672264215649,0.0321341727437796,-0.0424367840089091,0.2680231218308554,0.327527925,0.0881562,-0.19006161,148.25542272891792,161.96056461735486,124.00526019409097,176.89801292416286,121.94796681784676,113.33533032243814,461.0,726.0,798.5,2255.5,2455.0,1634.0,,,,,,,
FE-20,2023-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-08-09,0.435424540032681,10.27524346877443,0.1506438201285393,0.2150931602896899,0.0594797595106657,0.2464584762464748,23.969002596747565,0.1706639999999999,0.5630027104280718,0.5071337522047907,0.0571332305081805,-0.0919708789276714,0.2373988954153368,0.337885055,0.074609755,-0.2184883,149.5325697840592,160.09804073332054,129.23198717921952,171.80787305244488,127.5985947819247,119.8876265035112,454.5,731.0,855.0,2174.5,2614.5,1930.5,,,,,,,
FE-20,2023-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-08-14,0.3935981758085435,11.08589512437858,0.145990811091917,0.207686099909144,0.0301313200217998,0.2255932156798064,21.88625546562801,0.1477139999999999,0.5630271566021934,0.4876361931117703,0.0819243405107877,-0.1163738870956075,0.2149696920138299,0.348749265,0.066221405,-0.22885357,150.00456409678375,157.0459133629903,131.31216041058835,165.09875581747775,129.850275158959,123.26262141108003,483.5,761.0,937.5,2154.5,2722.0,2028.5,,,,,,,
FE-20,2023-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-09-05,0.3953250367687285,11.19211676533532,0.1484472901824837,0.2067302964725299,0.0261768534844152,0.2165402963133366,21.20102513077103,0.141654,0.5582498247350406,0.4941119221411192,0.0705390897845429,-0.1227514835597022,0.2059359362991583,0.32689562,0.06099254,-0.216019205,149.80411919495964,158.9382854232143,133.71181377292055,169.08567293100884,132.5662030859433,125.36673179310654,456.0,728.0,869.5,2006.5,2568.0,1904.5,,,,,,,
FE-20,2023-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-09-08,0.3815715697758267,11.640035802174104,0.1496352129579264,0.2057383300281527,0.0192259387223765,0.211054079890432,20.621673339094677,0.132954,0.566409578103731,0.4880204925338133,0.087536544408859,-0.1307937156203336,0.1991271521938966,0.33199376,0.059671095,-0.22093128,150.5991865782281,157.1541797791047,133.84422254944596,164.63034623463005,132.56766504475036,126.19786978434686,459.0,726.5,903.0,2017.5,2624.5,1941.5,,,,,,,
FE-20,2023-09-13,0.3540651282646436,12.582349959462553,0.1520511732980594,0.203183097957245,0.001036580926665,0.195222325646284,19.087346738105158,0.119628,0.5586034959543887,0.4794768803390769,0.0930780908563388,-0.1510483958324382,0.1876980158521743,0.33536588,0.051851235,-0.22412254,153.97032757105336,158.48448631030936,136.7119338921093,163.71509494868906,135.1463263081514,129.188484220403,519.0,755.5,938.5,1967.5,2667.5,1963.5,,,,,,,
FE-20,2023-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-09-18,0.359081391849307,11.957432878590186,0.1453628432167706,0.1845632885739482,0.0444169376662288,0.2119597798255159,20.45298429080992,0.1367939999999999,0.5254116695159254,0.4444808569007602,0.0901207407849488,-0.1016054514241589,0.2027972303789826,0.36094804,0.062108395,-0.221091055,147.25615894460535,153.68092269835938,130.82486704375043,161.42680121199555,129.81203227210688,123.79227060550797,543.5,841.0,1039.5,2204.5,2703.0,2017.0,,,,,,,
FE-20,2023-09-21,0.3603144117228624,12.76086063489704,0.1571311018064098,0.2104737513320541,0.0121260958249213,0.2092834779646414,20.253518503017823,0.134148,0.5569264378085947,0.480460459718201,0.0889178950049345,-0.1452963553606432,0.2050517240316685,0.36332825,0.05802606,-0.240133055,153.9255133402938,158.23599171439014,133.86927307055726,163.29189078102948,131.99055535732086,125.87361799555536,577.5,819.5,1010.5,2149.0,2879.5,2097.5,,,,,,,
FE-20,2023-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-09-23,0.3390973132117765,12.697299964155114,0.1476729608256045,0.20097621728994,-0.0181866220205953,0.1841253435368426,18.061193509677125,0.1049099999999999,0.5721235268142724,0.4777257064296937,0.1134772187172768,-0.165428444401716,0.1725343858190712,0.328857295,0.04800928,-0.22541985,153.4457173387313,156.20330159580402,138.04771703395946,159.9306791110275,136.77189914562234,131.88360558997454,478.0,722.0,937.5,1899.5,2652.5,1970.0,,,,,,,
FE-20,2023-09-28,0.3157565737024662,12.825947881705597,0.140732323870119,0.1883138057837824,-0.0225076848112879,0.174559195376763,17.057683202248406,0.093306,0.5628311944101418,0.4551135930010703,0.1315382979346775,-0.1627428617068768,0.1623413646541354,0.336093515,0.04510515,-0.2259639249999999,152.8946987931481,153.60934799040365,138.1906263358528,155.6824002297434,137.05024416391888,133.300604908021,496.0,746.0,998.5,1920.0,2666.5,2008.5,,,,,,,
FE-20,2023-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-20,2023-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
